"Pin Number","Pin ID","Custom Name","Function","Mode", "Direction","Latch","Pull Up","Pull Down","Drive Strength"
1,PA00,LED_RED,GPIO,Digital,Out,High,,,NORMAL
2,PA01,LED_GREEN,GPIO,Digital,Out,High,,,NORMAL
3,PA02,SW1,GPIO,Digital,In,n/a,Yes,No,NORMAL
4,PA03,SW2,GPIO,Digital,In,n/a,Yes,No,NORMAL
5,PB04,SW3,GPIO,Digital,In,n/a,Yes,No,NORMAL
6,PB05,SW4,GPIO,Digital,In,n/a,Yes,No,NORMAL
9,PB06,,Available,,,,,,NORMAL
10,PB07,,Available,,,,,,NORMAL
11,PB08,,Available,,,,,,NORMAL
12,PB09,,Available,,,,,,NORMAL
13,PA04,,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
14,PA05,,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
15,PA06,,SERCOM0_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
16,PA07,,SERCOM0_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
17,PA08,,SERCOM2_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
18,PA09,,SERCOM2_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
19,PA10,,Available,,,,,,NORMAL
20,PA11,,Available,,,,,,NORMAL
23,PB10,IO1,GPIO,Digital,In,n/a,No,No,NORMAL
24,PB11,IO_CTRL1,GPIO,Digital,Out,High,,,NORMAL
25,PB12,IO2,GPIO,Digital,In,n/a,No,No,NORMAL
26,PB13,IO_CTRL2,GPIO,Digital,Out,High,,,NORMAL
27,PB14,IO_CTRL3,GPIO,Digital,Out,High,,,NORMAL
28,PB15,IO3,GPIO,Digital,In,n/a,No,No,NORMAL
29,PA12,IO_CTRL4,GPIO,Digital,Out,High,,,NORMAL
30,PA13,IO4,GPIO,Digital,In,n/a,No,No,NORMAL
31,PA14,,Available,,,,,,NORMAL
32,PA15,,Available,,,,,,NORMAL
35,PA16,,SERCOM3_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
36,PA17,,SERCOM3_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
37,PA18,SPI_SS,GPIO,Digital,Out,High,,,NORMAL
38,PA19,,SERCOM3_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
39,PB16,,Available,,,,,,NORMAL
40,PB17,,Available,,,,,,NORMAL
41,PA20,,Available,,,,,,NORMAL
42,PA21,,Available,,,,,,NORMAL
43,PA22,,SERCOM5_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
44,PA23,,SERCOM5_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
45,PA24,,USB_DM,Digital,High Impedance,n/a,No,No,NORMAL
46,PA25,,USB_DP,Digital,High Impedance,n/a,No,No,NORMAL
49,PB22,BT_RST,GPIO,Digital,Out,High,,,NORMAL
50,PB23,,Available,,,,,,NORMAL
51,PA27,,Available,,,,,,NORMAL
53,PA28,,Available,,,,,,NORMAL
57,PA30,,Available,,,,,,NORMAL
58,PA31,,Available,,,,,,NORMAL
59,PB30,,Available,,,,,,NORMAL
60,PB31,,Available,,,,,,NORMAL
61,PB00,,Available,,,,,,NORMAL
62,PB01,BT_WAKEUP,GPIO,Digital,Out,High,,,NORMAL
63,PB02,BT_BTN,GPIO,Digital,Out,High,,,NORMAL
64,PB03,LED_YELLOW,GPIO,Digital,Out,High,,,NORMAL
