Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
5,PA04,LED_SLIDER_1,GPIO,Digital,Out,Low,,,NORMAL
6,PA05,LED_SLIDER_3,GPIO,Digital,Out,Low,,,NORMAL
7,PA06,,Available,,,,,,NORMAL
8,PA07,,Available,,,,,,NORMAL
11,PA08,,Available,,,,,,NORMAL
12,PA09,,Available,,,,,,NORMAL
13,PA10,LED_SLIDER_5,GPIO,Digital,Out,Low,,,NORMAL
14,PA11,LED_BUTTON_0,GPIO,Digital,Out,Low,,,NORMAL
15,PA14,LED_SLIDER_2,GPIO,Digital,Out,Low,,,NORMAL
16,PA15,LED_SLIDER_0,GPIO,Digital,Out,Low,,,NORMAL
17,PA16,LED_BUTTON_1,GPIO,Digital,Out,Low,,,NORMAL
18,PA17,LED_SLIDER_4,GPIO,Digital,Out,Low,,,NORMAL
19,PA18,,Available,,,,,,NORMAL
20,PA19,,Available,,,,,,NORMAL
21,PA22,,Available,,,,,,NORMAL
22,PA23,,Available,,,,,,NORMAL
23,PA24,,SERCOM0_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
24,PA25,,SERCOM0_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
25,PA27,,Available,,,,,,NORMAL
31,PA30,,Available,,,,,,NORMAL
32,PA31,,Available,,,,,,NORMAL
